STATES,MORTGAGE,RENT,ELECTRICITY,GAS,EAT-IN,PHONE,HLTH & WELL,VET,REGION
Massachusetts-Boston,717943,2249.0,236.57,2.89,15.52,252.17,1014.76,66.81,Northeast
New-York-New-York,1628124,5100.0,210.08,3.47,18.81,223.94,863.15,76.07,Northeast
Pennsylvania-Pittsburgh,317505,994.61,184.43,2.78,16.21,196.59,704.03,50.13,Northeast
Pennsylvania-Philadelphia,449365,1408.0,208.74,3.0,17.05,222.51,793.34,55.18,Northeast
Maryland-Baltimore,509743,1597.0,179.56,2.69,15.739999999999998,191.41,687.52,54.4,Northeast
