,MORTGAGE,RENT,ELECTRICITY,GAS,EAT-IN,PHONE,HLTH & WELL,VET,CITY,STATE,School Name,REGION,Starting Median Salary,Mid-Career Median Salary,Mid-Career 90th Percentile Salary
73,309524,969.6,175.2,2.45,13.01,186.76,740.8,52.45,Lexington,Virginia,Washington-and-Lee-University,Southern,53600.00,104000.00,
74,467409,1464.0,181.74,2.76,18.83,193.73,875.16,63.1,New Haven,Connecticut,Yale-University,Northeastern,59100.00,126000.00,326000.00
75,67630,211.86,149.72,2.4,13.63,159.6,755.82,48.18,Notre Dame,Indiana,University-of-Notre-Dame,Midwestern,56300.00,116000.00,235000.00
76,788384,2470.0,180.74,3.42,16.45,192.66,824.87,54.97,Long Beach,California,"California-State-University,-Long-Beach-(CSULB)",California,45100.00,84700.00,154000.00
77,251228,786.99,152.57,2.56,14.68,162.64,893.16,53.63,Mankato,Minnesota,Minnesota-State-University---Mankato,Midwestern,43300.00,74700.00,140000.00
78,353246,1107.0,147.04,2.44,12.88,156.74,746.06,51.88,Austin,Texas,University-of-Texas-(UT)---Austin,Southern,49700.00,93900.00,188000.00
79,229714,719.59,197.34,2.3,12.95,210.35,833.88,51.93,Blacksburg,Virginia,Virginia-Polytechnic-Institute-and-State-University-(Virginia-Tech),Southern,53500.00,95400.00,163000.00
80,199501,624.95,157.1,2.57,16.2,167.46,935.2,48.9,Ypsilanti,Michigan,Eastern-Michigan-University,Midwestern,40300.00,72100.00,135000.00
81,305013,955.47,143.68,2.81,13.14,153.16,776.07,48.07,Boise,Idaho,Boise-State-University-(BSU),Western,40800.00,69500.00,110000.00
82,252963,792.42,154.41,2.27,15.35,164.6,638.72,45.76,Cleveland,Tennessee,"Lee-University-(Cleveland,-TN)",Southern,34500.00,53900.00,
83,448032,1403.0,201.36,2.99,16.27,214.64,901.42,66.24,Lowell,Massachusetts,University-of-Massachusetts-(UMass)---Lowell,Northeastern,45400.00,86600.00,158000.00
84,433403,1358.0,195.49,2.82,14.73,208.39,808.35,56.77,Portland,Maine,University-of-Southern-Maine,Northeastern,39400.00,63600.00,117000.00
85,860907,2697.0,210.75,2.91,17.72,224.65,871.39,55.07,San Jose,California,San-Jose-State-University-(SJSU),California,53500.00,95600.00,156000.00
86,544805,1707.0,156.76,2.75,14.37,167.1,790.34,55.28,Golden,Colorado,Colorado-School-of-Mines,Western,58100.00,106000.00,201000.00
87,316117,990.26,150.73,2.62,14.23,160.67,613.21,53.37,Nashville,Tennessee,Vanderbilt-University,Southern,51200.00,104000.00,222000.00
88,306401,959.82,175.54,2.68,16.32,187.12,759.56,54.56,Cleveland,Ohio,Case-Western-Reserve-University,Midwestern,56200.00,96500.00,168000.00
89,306401,959.82,175.54,2.68,16.32,187.12,759.56,54.56,Cleveland,Ohio,Cleveland-State-University,Midwestern,43500.00,73100.00,137000.00
90,274824,860.9,161.62,2.85,14.16,172.29,830.88,52.4,Eau Claire,Wisconsin,University-of-Wisconsin-(UW)---Eau-Claire,Midwestern,41400.00,64800.00,125000.00
91,537002,1682.0,130.27,2.53,14.51,138.87,691.26,50.13,Granville,Ohio,Denison-University,Midwestern,42000.00,83500.00,
92,282423,884.71,178.22,2.4,12.97,189.98,809.86,52.09,Ashland,Virginia,Randolph-Macon-College,Southern,42600.00,83600.00,
93,210282,658.72,145.03,2.61,11.83,154.59,680.01,43.9,Kalamazoo,Michigan,Western-Michigan-University-(WMU),Midwestern,42300.00,73800.00,135000.00
94,305360,956.56,165.98,2.7,13.56,176.93,736.3,55.02,Peoria,Illinois,Bradley-University,Midwestern,47000.00,87300.00,151000.00
95,417441,1308.0,213.6,2.56,14.62,227.69,886.41,61.97,Fitchburg,Massachusetts,Fitchburg-State-College,Northeastern,42400.00,72600.00,151000.00
96,165415,518.17,150.73,2.62,14.23,160.67,613.21,53.37,Tusculum,Tennessee,Tusculum-College,Southern,36900.00,55500.00,124000.00
97,266496,834.82,130.27,2.53,14.51,138.87,691.26,50.13,Columbus,Ohio,Ohio-State-University-(OSU),Midwestern,44900.00,83700.00,162000.00
98,271354,850.03,183.92,2.57,15.38,196.06,676.25,61.04,Tuscaloosa,Alabama,"University-of-Alabama,-Tuscaloosa",Southern,41300.00,81400.00,161000.00
99,449365,1408.0,208.74,3.0,17.05,222.51,793.34,55.18,Philadelphia,Pennsylvania,University-of-Pennsylvania,Northeastern,60900.00,120000.00,282000.00
100,449365,1408.0,208.74,3.0,17.05,222.51,793.34,55.18,Philadelphia,Pennsylvania,Drexel-University,Northeastern,53400.00,93500.00,161000.00
101,449365,1408.0,208.74,3.0,17.05,222.51,793.34,55.18,Philadelphia,Pennsylvania,Pennsylvania-State-University-(PSU),Northeastern,49900.00,85700.00,160000.00
102,449365,1408.0,208.74,3.0,17.05,222.51,793.34,55.18,Philadelphia,Pennsylvania,La-Salle-University-(Philadelphia),Northeastern,43400.00,84700.00,151000.00
103,449365,1408.0,208.74,3.0,17.05,222.51,793.34,55.18,Philadelphia,Pennsylvania,Philadelphia-University,Northeastern,45100.00,80300.00,141000.00
104,348388,1091.0,121.72,2.66,14.68,129.75,832.38,51.37,Orem,Utah,Utah-Valley-State-College,Western,42400.00,67100.00,
105,249146,780.47,150.06,2.19,12.63,159.95,655.99,44.01,Knoxville,Tennessee,University-of-Tennessee,Southern,43800.00,74600.00,153000.00
106,266496,834.82,190.29,2.52,13.37,202.85,708.52,48.43,Champaign,Illinois,University-of-Illinois-at-Urbana-Champaign-(UIUC),Midwestern,52900.00,96100.00,177000.00
107,284193,890.25,183.25,2.47,16.04,195.34,740.06,49.72,Laramie,Wyoming,University-of-Wyoming-(UW),Western,44500.00,78700.00,145000.00
108,228326,715.25,173.03,2.33,13.37,184.44,636.47,44.62,Memphis,Tennessee,University-of-Memphis-(U-of-M),Southern,41400.00,69700.00,127000.00
109,341022,1068.0,140.67,2.91,14.94,149.95,815.11,49.46,Dekalb,Illinois,Northern-Illinois-University-(NIU),Midwestern,43600.00,80800.00,161000.00
110,426457,1336.0,213.6,2.56,14.62,227.69,886.41,61.97,Worcester,Massachusetts,Worcester-Polytechnic-Institute-(WPI),Northeastern,61000.00,114000.00,180000.00
111,426457,1336.0,213.6,2.56,14.62,227.69,886.41,61.97,Worcester,Massachusetts,College-of-the-Holy-Cross,Northeastern,50200.00,106000.00,
112,498986,1563.0,165.31,2.93,15.47,176.22,728.05,52.19,Miami,Florida,Florida-International-University-(FIU),Southern,43200.00,75500.00,136000.00
113,1046899,3279.0,316.71,3.52,23.77,337.6,869.89,66.55,Honolulu,Hawaii,University-of-Hawaii,Western,43800.00,76000.00,128000.00
114,261985,820.69,147.37,2.72,13.8,157.09,640.97,47.51,Cedar City,Utah,Southern-Utah-University,Western,41900.00,56500.00,
115,345219,1081.0,168.67,2.74,13.61,179.79,732.55,57.54,Arlington,Texas,University-of-Texas-at-Arlington-(UTA),Southern,45400.00,80800.00,138000.00
116,308483,966.34,186.44,2.45,14.99,198.74,662.0,48.69,Orlando,Florida,University-of-Central-Florida-(UCF),Southern,42600.00,71700.00,125000.00
117,348388,1091.0,121.72,2.66,14.68,129.75,832.38,51.37,Provo,Utah,Brigham-Young-University-(BYU),Western,49400.00,88600.00,164000.00
118,978750,3066.0,208.74,3.0,17.05,222.51,793.34,55.18,Swarthmore,Pennsylvania,Swarthmore-College,Northeastern,49700.00,104000.00,
119,320975,1005.0,149.55,2.47,13.4,159.42,740.06,52.6,Lexington,Kentucky,University-of-Kentucky-(UK),Southern,42800.00,78300.00,149000.00
120,539932,1691.0,151.23,3.3,15.89,161.21,760.32,59.09,Chicago,Illinois,University-Of-Chicago,Midwestern,53400.00,113000.00,255000.00
121,539932,1691.0,151.23,3.3,15.89,161.21,760.32,59.09,Chicago,Illinois,Illinois-Institute-of-Technology-(IIT),Midwestern,56000.00,97800.00,165000.00
122,539932,1691.0,151.23,3.3,15.89,161.21,760.32,59.09,Chicago,Illinois,DePaul-University,Midwestern,46400.00,84800.00,160000.00
123,539932,1691.0,151.23,3.3,15.89,161.21,760.32,59.09,Chicago,Illinois,University-of-Illinois-at-Chicago,Midwestern,47500.00,81700.00,146000.00
124,528481,1656.0,166.15,2.82,15.05,177.11,725.8,52.86,Fort Lauderdale,Florida,Florida-Metropolitan-University-(FMU),Southern,36600.00,51000.00,102000.00
125,225203,705.46,197.84,2.57,13.89,210.89,684.51,53.22,Tulsa,Oklahoma,University-of-Tulsa,Southern,42400.00,88700.00,197000.00
126,243247,761.99,166.65,2.27,14.45,177.65,740.8,48.54,Springfield,Missouri,Missouri-State-University-(MSU),Midwestern,36100.00,69500.00,134000.00
127,351858,1102.0,144.69,2.74,14.29,154.24,676.25,50.23,New Orleans,Louisiana,Tulane-University,Southern,49100.00,95800.00,185000.00
128,510784,1600.0,173.7,2.93,18.44,185.15,1079.31,63.21,Anchorage,Alaska,"University-of-Alaska,-Anchorage",Western,45900.00,72600.00,137000.00
129,283499,888.08,162.97,2.47,14.37,173.72,752.81,49.77,Columbia,Missouri,University-of-Missouri---Columbia,Midwestern,41700.00,81000.00,156000.00
130,317505,994.61,184.43,2.78,16.21,196.59,704.03,50.13,Pittsburgh,Pennsylvania,Carnegie-Mellon-University-(CMU),Northeastern,61800.00,111000.00,209000.00
131,317505,994.61,184.43,2.78,16.21,196.59,704.03,50.13,Pittsburgh,Pennsylvania,Duquesne-University,Northeastern,40700.00,84400.00,131000.00
132,1356983,4251.0,236.57,2.89,15.52,252.17,1014.76,66.81,Wellesley,Massachusetts,Wellesley-College,Northeastern,42800.00,83500.00,
133,263026,823.95,158.61,2.22,13.7,169.07,663.5,50.49,Fayetteville,Arkansas,University-of-Arkansas,Southern,44100.00,82800.00,160000.00
134,820543,2570.0,180.74,3.42,16.45,192.66,824.87,54.97,Claremont,California,Harvey-Mudd-College,California,71800.00,122000.00,
135,820543,2570.0,180.74,3.42,16.45,192.66,824.87,54.97,Claremont,California,Pomona-College,California,48600.00,101000.00,
136,266843,835.9,194.99,2.77,14.68,207.85,737.8,49.93,Tampa,Florida,University-of-South-Florida-(USF),Southern,41100.00,71100.00,131000.00
137,277600,869.6,151.23,2.52,15.07,161.21,759.56,52.14,Tucson,Arizona,University-of-Arizona,Western,47500.00,86100.00,160000.00
138,509743,1597.0,179.56,2.69,15.74,191.41,687.52,54.4,Baltimore,Maryland,University-of-Maryland-Baltimore-County-(UMBC),Southern,47000.00,77800.00,130000.00
139,331038,1037.0,133.63,2.79,13.32,142.44,748.31,46.22,Ames,Iowa,Iowa-State-University,Midwestern,45400.00,84600.00,147000.00
140,294256,921.78,149.39,2.39,13.84,159.24,710.03,48.79,Manhattan,Kansas,Kansas-State-University-(KSU),Midwestern,43300.00,79000.00,138000.00
141,817185,2560.0,192.64,3.36,16.57,205.35,806.85,52.55,San Diego,California,"University-of-California,-San-Diego-(UCSD)",California,51100.00,101000.00,177000.00
142,817185,2560.0,192.64,3.36,16.57,205.35,806.85,52.55,San Diego,California,San-Diego-State-University-(SDSU),California,46200.00,85200.00,158000.00
143,281070,880.47,172.86,2.62,13.37,184.26,780.58,47.56,Green Bay,Wisconsin,University-of-Wisconsin-(UW)---Green-Bay,Midwestern,35800.00,60600.00,102000.00
144,407378,1276.0,157.1,2.57,16.2,167.46,935.2,48.9,Ann Arbor,Michigan,University-of-Michigan,Midwestern,52700.00,93000.00,182000.00
145,341101,1069.0,123.57,2.54,14.25,131.72,766.32,48.54,Colorado Springs,Colorado,Colorado-College-(CC),Western,38500.00,81400.00,
146,546401,1712.0,162.63,2.85,14.9,173.36,631.23,43.29,Kent,Ohio,Kent-State-University,Midwestern,38700.00,62600.00,124000.00
147,854777,2678.0,151.23,3.3,15.89,161.21,760.32,59.09,Evanston,Illinois,Northwestern-University,Midwestern,52700.00,95900.00,205000.00
148,379618,1189.0,176.38,2.8,15.11,188.01,918.68,54.61,Madison,Wisconsin,University-of-Wisconsin-(UW)---Madison,Midwestern,48900.00,87800.00,170000.00
149,258168,808.73,183.92,2.49,14.1,196.06,725.05,55.12,Huntsville,Alabama,University-of-Alabama-at-Huntsville-(UAH),Southern,43100.00,82700.00,132000.00
150,673874,2111.0,206.39,3.47,18.6,220.0,932.2,69.64,Seattle,Washington,University-of-Washington-(UW),Western,48800.00,85300.00,149000.00
151,673874,2111.0,206.39,3.47,18.6,220.0,932.2,69.64,Seattle,Washington,Seattle-University,Western,48300.00,82800.00,150000.00
152,1128030,3534.0,190.46,3.4,18.42,203.03,923.93,62.69,Berkeley,California,"University-of-California,-Berkeley",California,59900.00,112000.00,201000.00
153,271701,851.12,155.25,2.66,15.28,165.49,726.55,45.04,El Paso,Texas,University-of-Texas-at-El-Paso-(UTEP),Southern,43400.00,72100.00,133000.00
154,399656,1252.0,175.04,2.26,12.99,186.58,668.0,48.9,Clinton,Mississippi,Mississippi-College,Southern,35400.00,60400.00,
155,257821,807.64,146.03,2.26,13.3,155.67,613.21,45.91,Jonesboro,Arkansas,Arkansas-State-University-(ASU),Southern,38700.00,63300.00,118000.00
156,376495,1179.0,159.11,2.24,15.52,169.61,829.37,59.86,Charlottesville,Virginia,University-of-Virginia-(UVA),Southern,52700.00,103000.00,215000.00
157,315423,988.08,144.36,2.43,16.13,153.88,739.3,51.06,Tallahassee,Florida,Florida-State-University-(FSU),Southern,42100.00,73000.00,156000.00
158,616230,1930.0,161.62,2.94,14.77,172.29,852.64,60.58,Middletown,Connecticut,"Wesleyan-University-(Middletown,-Connecticut)",Northeastern,46500.00,97900.00,215000.00
159,336194,1053.0,126.75,2.93,14.23,135.11,851.89,50.23,Cheney,Washington,Eastern-Washington-University,Western,38600.00,70900.00,117000.00
160,244957,767.34,208.74,3.0,17.05,222.51,793.34,55.18,Chester,Pennsylvania,Widener-University,Northeastern,52900.00,83400.00,138000.00
161,286622,897.86,120.21,2.66,14.12,128.14,768.57,53.22,Lincoln,Nebraska,University-of-Nebraska,Midwestern,45700.00,80900.00,156000.00
162,311953,977.21,216.11,2.47,13.19,230.37,683.01,50.23,Beaumont,Texas,Lamar-University,Southern,46500.00,79400.00,158000.00
163,237695,744.6,166.99,2.26,12.57,178.01,672.51,51.83,Cookeville,Tennessee,Tennessee-Technological-University,Southern,46200.00,80000.00,121000.00
164,474696,1487.0,149.72,3.2,17.13,159.6,778.34,56.15,Sacramento,California,"California-State-University,-Sacramento-(CSUS)",California,47800.00,82400.00,154000.00
