STATES,MORTGAGE,RENT,ELECTRICITY,GAS,EAT-IN,PHONE,HLTH & WELL,VET,REGION
Illinois-Chicago,539932,1691,151.23,3.3,15.89,161.21,760.32,59.09,Mid-West
Ohio-Cincinnati,264414,828.29,159.95,2.63,13.4,170.5,738.55,52.45,Mid-West
Ohio-Cleveland,306401,959.82,175.54,2.68,16.32,187.12,759.56,54.56,Mid-West
Michigan-Detroit,326527,1023,171.18,2.82,13.32,182.47,707.02,50.03,Mid-West
Missouri-Kansas-City,319587,1001,180.74,2.57,14.71,192.66,742.3,53.48,Mid-West
Wisconsin-Milwaukee,325833,1021,179.73,2.49,14.37,191.59,851.13,48.74,Mid-West
Minnesota-Minneapolis,363656,1139,152.74,2.82,15.65,162.81,784.34,55.07,Mid-West
Missouri-St.-Louis,252269,790.25,192.31,2.62,15.34,204.99,766.32,49.98,Mid-West
