,Name,Rank,Tuition and fees,City,State
159,University of Alabama--Birmingham,159,"$17,654 ",Birmingham, AL
160,University of Maryland--Baltimore County,159,"$24,492 ",Baltimore, MD
161,University of Rhode Island,159,"$28,852 ",Kingston, RI
162,University of South Florida,159,"$17,325 ",Tampa, FL
163,Biola University,164,"$36,696 ",La Mirada, CA
164,Maryville University of St. Louis,164,"$27,958 ",St Louis, MO
165,Missouri University of Science & Technology,164,"$26,152 ",Rolla, MO
166,St. John's University,164,"$39,460 ",Queens, NY
167,Virginia Commonwealth University,164,"$31,608 ",Richmond, VA
168,Union University,169,"$30,420 ",Jackson, TN
169,University of Hawaii--Manoa,169,"$33,764 ",Honolulu, HI
170,Edgewood College,171,"$27,530 ",Madison, WI
171,Florida Institute of Technology,171,"$40,446 ",Melbourne, FL
172,University of Idaho,171,"$22,040 ",Moscow, ID
173,University of Louisville,171,"$24,626 ",Louisville, KY
174,University of Wyoming,171,"$16,215 ",Laramie, WY
175,Ball State University,176,"$25,428 ",Muncie, IN
176,Lipscomb University,176,"$29,756 ",Nashville, TN
177,Mississippi State University,176,"$20,142 ",Mississippi State, MS
178,Montclair State University,176,"$20,318 ",Montclair, NJ
179,Texas Tech University,176,"$22,861 ",Lubbock, TX
180,University of Central Florida,176,"$22,467 ",Orlando, FL
181,University of New Mexico,176,"$21,302 ",Albuquerque, NM
182,Andrews University,183,"$27,684 ",Berrien Springs, MI
183,Azusa Pacific University,183,"$36,120 ",Azusa, CA
184,University of Maine,183,"$29,498 ",Orono, ME
185,West Virginia University,183,"$21,432 ",Morgantown, WV
186,Widener University,183,"$42,870 ",Chester, PA
187,Kent State University,188,"$18,376 ",Kent, OH
188,North Dakota State University,188,"$19,790 ",Fargo, ND
189,Pace University,188,"$42,772 ",New York, NY
190,Robert Morris University,188,"$28,250 ",Moon Township, PA
191,Suffolk University,188,"$35,578 ",Boston, MA
192,University of Hartford,188,"$37,790 ",West Hartford, CT
193,Bowling Green State University,194,"$18,332 ",Bowling Green, OH
194,University of Houston,194,"$25,410 ",Houston, TX
195,Western Michigan University,194,"$25,713 ",Kalamazoo, MI
196,Indiana University-Purdue University--Indianapolis,197,"$29,791 ",Indianapolis, IN
197,Lesley University,197,"$25,750 ",Cambridge, MA
198,University of Alabama--Huntsville,197,"$20,622 ",Huntsville, AL
