STATES,MORTGAGE,RENT,ELECTRICITY,GAS,EAT-IN,PHONE,HLTH & WELL,VET,REGION
Washington-Seattle,673874,2111,206.39,3.47,16.31,220.0,932.2,69.64,Western
Oregon-Portland,620783,1945,130.77,2.78,14.82,139.4,803.85,60.53,Western
Arizona-Phoenix,330344,1035,161.12,2.39,12.530000000000001,171.75,733.29,48.23,Western
Colorado-Denver,463245,1451,156.76,2.75,12.6,167.1,790.34,55.28,Western
