Starting Median Salary,Mid-Career Median Salary,Mid-Career 90th Percentile Salary,MORTGAGE,Mortgage Payment,RENT,ELECTRICITY,GAS,EAT-IN,PHONE,HLTH & WELL,VET,Monthly Expense - Mortgage,Monthly Expense - Rent,Min Annual Expense - Mortgage,Min Annual Expense - Rent,Adj Annual Expense (30%) - Mortgage,Adj Annual Expense (30%) - Rent,REGION
"47,200","79,100","130,500","463,245","1,929.34",1451,156.76,2.75,12.6,167.1,790.34,55.28,"5,277.34","4,799","63,328","57,588","82,326.50","74,864.40",Western
"48,040","85,840","160,200","717,943","2,990.67",2249,236.57,2.89,15.52,252.17,1014.76,66.81,"6,338.67","5,597","76,064","67,164","98,883.25","87,313.20",Northeast
"50,100","94,175","180,000","1,628,124","6,783.39",5100,210.08,3.47,18.81,223.94,863.15,76.07,"10,131.39","8,448","121,577","101,376","158,049.68","131,788.80",Northeast
"51,250","97,700","170,000","317,505","1,322.04",994.61,184.43,2.78,16.21,196.59,704.03,50.13,"4,670.04","4,343","56,040","52,116","72,852.62","67,750.80",Northeast
"50,540","92,840","179,000","449,365","1,871.50",1408,208.74,3,17.05,222.51,793.34,55.18,"5,219.50","4,756","62,634","57,072","81,424.20","74,193.60",Northeast
"47,000","77,800","130,000","509,743","2,123.10",1597,179.56,2.69,15.74,191.41,687.52,54.4,"5,471.10","4,945","65,653","59,340","85,349.16","77,142.00",Northeast
"47,300","86,400","150,000","1,146,835","4,777.86",3593,182.92,3.51,16.54,194.98,901.42,62.84,"8,125.86","6,941","97,510","83,292","126,763.42","108,279.60",California
"53,100","101,867","197,000","788,384","3,284.20",2470,180.74,3.42,14.42,192.66,824.87,54.97,"6,632.20","5,818","79,586","69,816","103,462.32","90,760.80",California
"48,650","93,100","167,500","817,185","3,404.21",2560,192.64,3.36,14.53,205.35,806.85,52.55,"6,752.21","5,908","81,027","70,896","105,334.48","92,164.80",California
"53,500","95,600","156,000","860,907","3,586.40",2697,210.75,2.91,15.54,224.65,871.39,55.07,"6,934.40","6,045","83,213","72,540","108,176.64","94,302.00",California
