web-scraper-order,web-scraper-start-url,home,rent,energy,phone,gas,bread,milk,eggs,bananas,hamburger,doctor,dentist,optometrist,drug,veterinary
1570330678-135,https://www.payscale.com/cost-of-living-calculator/Georgia-Athens,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330483-43,https://www.payscale.com/cost-of-living-calculator/Massachusetts-Lowell,"$448,032 ","$1,403 / month",$201.36 / month,$214.64 / month,$2.99 / gallon,$3.69 ,$2.15 ,$2.01 ,$3.72 ,$4.70 ,$132.96 ,$114.23 ,$124.59 ,$529.64 ,$66.24 
1570330409-8,https://www.payscale.com/cost-of-living-calculator/Maine-Portland,"$433,403 ","$1,358 / month",$195.49 / month,$208.39 / month,$2.82 / gallon,$3.34 ,$1.95 ,$1.82 ,$3.37 ,$4.25 ,$119.23 ,$102.43 ,$111.73 ,$474.96 ,$56.77 
1570330716-153,https://www.payscale.com/cost-of-living-calculator/North_Carolina-Durham,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330499-51,https://www.payscale.com/cost-of-living-calculator/New_York-Stony-Brook,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330969-272,https://www.payscale.com/cost-of-living-calculator/California-Santa-Barbara,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330447-26,https://www.payscale.com/cost-of-living-calculator/New_York-Garden-City,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330971-273,https://www.payscale.com/cost-of-living-calculator/California-San-Jose,"$860,907 ","$2,697 / month",$210.75 / month,$224.65 / month,$2.91 / gallon,$4.02 ,$2.34 ,$2.18 ,$4.06 ,$5.12 ,$128.53 ,$110.42 ,$120.44 ,$512.00 ,$55.07 
1570330795-190,https://www.payscale.com/cost-of-living-calculator/Wisconsin-Platteville,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330708-149,https://www.payscale.com/cost-of-living-calculator/North_Carolina-Davidson,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330940-258,https://www.payscale.com/cost-of-living-calculator/Colorado-Golden,"$544,805 ","$1,707 / month",$156.76 / month,$167.10 / month,$2.75 / gallon,$3.26 ,$1.90 ,$1.77 ,$3.29 ,$4.15 ,$116.58 ,$100.15 ,$109.24 ,$464.37 ,$55.28 
1570330938-257,https://www.payscale.com/cost-of-living-calculator/Colorado-Boulder,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330810-197,https://www.payscale.com/cost-of-living-calculator/Kansas-Lawrence,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330710-150,https://www.payscale.com/cost-of-living-calculator/Tennessee-Nashville,"$316,117 ",$990.26 / month,$150.73 / month,$160.67 / month,$2.62 / gallon,$3.23 ,$1.88 ,$1.75 ,$3.26 ,$4.11 ,$90.45 ,$77.70 ,$84.76 ,$360.30 ,$53.37 
1570330434-20,https://www.payscale.com/cost-of-living-calculator/New_York-Oneonta,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330900-239,https://www.payscale.com/cost-of-living-calculator/Colorado-Fort-Collins,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330491-47,https://www.payscale.com/cost-of-living-calculator/New_Jersey-New-Brunswick,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330853-217,https://www.payscale.com/cost-of-living-calculator/Ohio-Cleveland,"$306,401 ",$959.82 / month,$175.54 / month,$187.12 / month,$2.68 / gallon,$3.70 ,$2.16 ,$2.01 ,$3.74 ,$4.71 ,$112.04 ,$96.25 ,$104.98 ,$446.29 ,$54.56 
1570330740-164,https://www.payscale.com/cost-of-living-calculator/Wisconsin-Eau-Claire,"$274,824 ",$860.90 / month,$161.62 / month,$172.29 / month,$2.85 / gallon,$3.21 ,$1.87 ,$1.75 ,$3.24 ,$4.09 ,$122.56 ,$105.29 ,$114.84 ,$488.19 ,$52.40 
1570330936-256,https://www.payscale.com/cost-of-living-calculator/New_Mexico-Socorro,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330814-199,https://www.payscale.com/cost-of-living-calculator/Ohio-Granville,"$537,002 ","$1,682 / month",$130.27 / month,$138.87 / month,$2.53 / gallon,$3.29 ,$1.92 ,$1.79 ,$3.32 ,$4.19 ,$101.96 ,$87.60 ,$95.54 ,$406.16 ,$50.13 
1570330836-209,https://www.payscale.com/cost-of-living-calculator/Indiana-Greencastle,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330556-78,https://www.payscale.com/cost-of-living-calculator/New_York-New-York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330682-137,https://www.payscale.com/cost-of-living-calculator/Virginia-Fairfax,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330952-264,https://www.payscale.com/cost-of-living-calculator/California-Riverside,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330476-40,https://www.payscale.com/cost-of-living-calculator/Pennsylvania-Gettysburg,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330695-143,https://www.payscale.com/cost-of-living-calculator/Virginia-University-of-Richmond,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330672-132,https://www.payscale.com/cost-of-living-calculator/Virginia-Ashland,"$282,423 ",$884.71 / month,$178.22 / month,$189.98 / month,$2.40 / gallon,$2.94 ,$1.71 ,$1.60 ,$2.97 ,$3.75 ,$119.46 ,$102.62 ,$111.94 ,$475.84 ,$52.09 
1570330485-44,https://www.payscale.com/cost-of-living-calculator/Connecticut-Storrs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330779-182,https://www.payscale.com/cost-of-living-calculator/Michigan-Kalamazoo,"$210,282 ",$658.72 / month,$145.03 / month,$154.59 / month,$2.61 / gallon,$2.68 ,$1.56 ,$1.46 ,$2.71 ,$3.42 ,$100.30 ,$86.17 ,$93.99 ,$399.55 ,$43.90 
1570330831-207,https://www.payscale.com/cost-of-living-calculator/Illinois-Peoria,"$305,360 ",$956.56 / month,$165.98 / month,$176.93 / month,$2.70 / gallon,$3.08 ,$1.79 ,$1.67 ,$3.10 ,$3.92 ,$108.61 ,$93.30 ,$101.77 ,$432.62 ,$55.02 
1570330422-14,https://www.payscale.com/cost-of-living-calculator/Massachusetts-Fitchburg,"$417,441 ","$1,308 / month",$213.60 / month,$227.69 / month,$2.56 / gallon,$3.32 ,$1.93 ,$1.80 ,$3.35 ,$4.22 ,$130.75 ,$112.32 ,$122.52 ,$520.82 ,$61.97 
1570330578-88,https://www.payscale.com/cost-of-living-calculator/Tennessee-Tusculum,"$165,415 ",$518.17 / month,$150.73 / month,$160.67 / month,$2.62 / gallon,$3.23 ,$1.88 ,$1.75 ,$3.26 ,$4.11 ,$90.45 ,$77.70 ,$84.76 ,$360.30 ,$53.37 
1570330817-200,https://www.payscale.com/cost-of-living-calculator/Ohio-Columbus,"$266,496 ",$834.82 / month,$130.27 / month,$138.87 / month,$2.53 / gallon,$3.29 ,$1.92 ,$1.79 ,$3.32 ,$4.19 ,$101.96 ,$87.60 ,$95.54 ,$406.16 ,$50.13 
1570330659-126,https://www.payscale.com/cost-of-living-calculator/Alabama-Tuscaloosa,"$271,354 ",$850.03 / month,$183.92 / month,$196.06 / month,$2.57 / gallon,$3.49 ,$2.03 ,$1.90 ,$3.52 ,$4.44 ,$99.75 ,$85.69 ,$93.47 ,$397.34 ,$61.04 
1570330895-237,https://www.payscale.com/cost-of-living-calculator/Utah-Logan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330561-80,https://www.payscale.com/cost-of-living-calculator/Pennsylvania-Philadelphia,"$449,365 ","$1,408 / month",$208.74 / month,$222.51 / month,$3.00 / gallon,$3.87 ,$2.25 ,$2.10 ,$3.90 ,$4.93 ,$117.02 ,$100.53 ,$109.65 ,$466.14 ,$55.18 
1570330868-224,https://www.payscale.com/cost-of-living-calculator/Utah-Orem,"$348,388 ","$1,091 / month",$121.72 / month,$129.75 / month,$2.66 / gallon,$3.33 ,$1.94 ,$1.81 ,$3.36 ,$4.24 ,$122.78 ,$105.48 ,$115.05 ,$489.07 ,$51.37 
1570330633-114,https://www.payscale.com/cost-of-living-calculator/Tennessee-Knoxville,"$249,146 ",$780.47 / month,$150.06 / month,$159.95 / month,$2.19 / gallon,$2.86 ,$1.67 ,$1.56 ,$2.89 ,$3.65 ,$96.76 ,$83.13 ,$90.67 ,$385.43 ,$44.01 
1570330851-216,https://www.payscale.com/cost-of-living-calculator/Illinois-Champaign,"$266,496 ",$834.82 / month,$190.29 / month,$202.85 / month,$2.52 / gallon,$3.03 ,$1.77 ,$1.65 ,$3.06 ,$3.86 ,$104.51 ,$89.78 ,$97.93 ,$416.30 ,$48.43 
1570330946-261,https://www.payscale.com/cost-of-living-calculator/California-Stanislaus,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330898-238,https://www.payscale.com/cost-of-living-calculator/Wyoming-Laramie,"$284,193 ",$890.25 / month,$183.25 / month,$195.34 / month,$2.47 / gallon,$3.64 ,$2.12 ,$1.98 ,$3.67 ,$4.63 ,$109.16 ,$93.78 ,$102.29 ,$434.83 ,$49.72 
1570330912-245,https://www.payscale.com/cost-of-living-calculator/New_Mexico-Albuquerque,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330800-192,https://www.payscale.com/cost-of-living-calculator/North_Dakota-Grand-Forks,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330608-102,https://www.payscale.com/cost-of-living-calculator/Tennessee-Memphis,"$228,326 ",$715.25 / month,$173.03 / month,$184.44 / month,$2.33 / gallon,$3.03 ,$1.77 ,$1.65 ,$3.06 ,$3.86 ,$93.88 ,$80.65 ,$87.97 ,$373.97 ,$44.62 
1570330804-194,https://www.payscale.com/cost-of-living-calculator/Illinois-Dekalb,"$341,022 ","$1,068 / month",$140.67 / month,$149.95 / month,$2.91 / gallon,$3.39 ,$1.97 ,$1.84 ,$3.42 ,$4.32 ,$120.23 ,$103.29 ,$112.66 ,$478.93 ,$49.46 
1570330861-221,https://www.payscale.com/cost-of-living-calculator/Montana-Billings,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330595-96,https://www.payscale.com/cost-of-living-calculator/North_Carolina-Wilmington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330554-77,https://www.payscale.com/cost-of-living-calculator/Massachusetts-Worcester,"$426,457 ","$1,336 / month",$213.60 / month,$227.69 / month,$2.56 / gallon,$3.32 ,$1.93 ,$1.80 ,$3.35 ,$4.22 ,$130.75 ,$112.32 ,$122.52 ,$520.82 ,$61.97 
1570330636-115,https://www.payscale.com/cost-of-living-calculator/Florida-Miami,"$498,986 ","$1,563 / month",$165.31 / month,$176.22 / month,$2.93 / gallon,$3.51 ,$2.04 ,$1.91 ,$3.54 ,$4.47 ,$107.39 ,$92.26 ,$100.63 ,$427.77 ,$52.19 
1570330487-45,https://www.payscale.com/cost-of-living-calculator/New_Jersey-Lawrenceville,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330959-267,https://www.payscale.com/cost-of-living-calculator/California-East-Bay,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330844-213,https://www.payscale.com/cost-of-living-calculator/South_Dakota-Rapid-City,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330887-233,https://www.payscale.com/cost-of-living-calculator/Hawaii-Honolulu,"$1,046,899 ","$3,279 / month",$316.71 / month,$337.60 / month,$3.52 / gallon,$5.39 ,$3.14 ,$2.93 ,$5.44 ,$6.87 ,$128.31 ,$110.23 ,$120.23 ,$511.12 ,$66.55 
1570330537-69,https://www.payscale.com/cost-of-living-calculator/Pennsylvania-Easton,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330764-175,https://www.payscale.com/cost-of-living-calculator/Ohio-Bowling-Green,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330864-222,https://www.payscale.com/cost-of-living-calculator/Utah-Cedar-City,"$261,985 ",$820.69 / month,$147.37 / month,$157.09 / month,$2.72 / gallon,$3.13 ,$1.82 ,$1.70 ,$3.16 ,$3.99 ,$94.55 ,$81.22 ,$88.59 ,$376.61 ,$47.51 
1570330657-125,https://www.payscale.com/cost-of-living-calculator/Texas-Arlington,"$345,219 ","$1,081 / month",$168.67 / month,$179.79 / month,$2.74 / gallon,$3.09 ,$1.80 ,$1.68 ,$3.11 ,$3.93 ,$108.05 ,$92.83 ,$101.25 ,$430.42 ,$57.54 
1570330723-156,https://www.payscale.com/cost-of-living-calculator/South_Dakota-Spearfish,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330546-73,https://www.payscale.com/cost-of-living-calculator/Pennsylvania-Lewisburg,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330621-108,https://www.payscale.com/cost-of-living-calculator/Florida-Orlando,"$308,483 ",$966.34 / month,$186.44 / month,$198.74 / month,$2.45 / gallon,$3.40 ,$1.98 ,$1.85 ,$3.43 ,$4.33 ,$97.65 ,$83.89 ,$91.50 ,$388.96 ,$48.69 
1570330934-255,https://www.payscale.com/cost-of-living-calculator/Utah-Provo,"$348,388 ","$1,091 / month",$121.72 / month,$129.75 / month,$2.66 / gallon,$3.33 ,$1.94 ,$1.81 ,$3.36 ,$4.24 ,$122.78 ,$105.48 ,$115.05 ,$489.07 ,$51.37 
1570330883-231,https://www.payscale.com/cost-of-living-calculator/Idaho-Pocatello,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330529-65,https://www.payscale.com/cost-of-living-calculator/Pennsylvania-Swarthmore,"$978,750 ","$3,066 / month",$208.74 / month,$222.51 / month,$3.00 / gallon,$3.87 ,$2.25 ,$2.10 ,$3.90 ,$4.93 ,$117.02 ,$100.53 ,$109.65 ,$466.14 ,$55.18 
1570330646-120,https://www.payscale.com/cost-of-living-calculator/Kentucky-Lexington,"$320,975 ","$1,005 / month",$149.55 / month,$159.42 / month,$2.47 / gallon,$3.04 ,$1.77 ,$1.65 ,$3.07 ,$3.87 ,$109.16 ,$93.78 ,$102.29 ,$434.83 ,$52.60 
1570330772-179,https://www.payscale.com/cost-of-living-calculator/Illinois-Normal,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330872-226,https://www.payscale.com/cost-of-living-calculator/Colorado-Durango,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330730-159,https://www.payscale.com/cost-of-living-calculator/Ohio-Mayfield-Heights,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330857-219,https://www.payscale.com/cost-of-living-calculator/Illinois-Chicago,"$539,932 ","$1,691 / month",$151.23 / month,$161.21 / month,$3.30 / gallon,$3.60 ,$2.10 ,$1.96 ,$3.64 ,$4.59 ,$112.15 ,$96.35 ,$105.09 ,$446.73 ,$59.09 
1570330571-85,https://www.payscale.com/cost-of-living-calculator/Florida-Fort-Lauderdale,"$528,481 ","$1,656 / month",$166.15 / month,$177.11 / month,$2.82 / gallon,$3.41 ,$1.99 ,$1.86 ,$3.44 ,$4.35 ,$107.06 ,$91.97 ,$100.32 ,$426.45 ,$52.86 
1570330506-54,https://www.payscale.com/cost-of-living-calculator/Vermont-Middlebury,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330504-53,https://www.payscale.com/cost-of-living-calculator/Massachusetts-South-Hadley,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330445-25,https://www.payscale.com/cost-of-living-calculator/Pennsylvania-Huntingdon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330878-229,https://www.payscale.com/cost-of-living-calculator/Montana-Missoula,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330430-18,https://www.payscale.com/cost-of-living-calculator/New_York-Plattsburgh,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330691-141,https://www.payscale.com/cost-of-living-calculator/Oklahoma-Tulsa,"$225,203 ",$705.46 / month,$197.84 / month,$210.89 / month,$2.57 / gallon,$3.15 ,$1.84 ,$1.71 ,$3.18 ,$4.01 ,$100.97 ,$86.74 ,$94.61 ,$402.19 ,$53.22 
1570330755-171,https://www.payscale.com/cost-of-living-calculator/Missouri-Springfield,"$243,247 ",$761.99 / month,$166.65 / month,$177.65 / month,$2.27 / gallon,$3.28 ,$1.91 ,$1.78 ,$3.31 ,$4.17 ,$109.27 ,$93.87 ,$102.39 ,$435.27 ,$48.54 
1570330542-71,https://www.payscale.com/cost-of-living-calculator/New_York-Hamilton,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330580-89,https://www.payscale.com/cost-of-living-calculator/Florida-Saint-Leo,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330701-146,https://www.payscale.com/cost-of-living-calculator/Louisiana-New-Orleans,"$351,858 ","$1,102 / month",$144.69 / month,$154.24 / month,$2.74 / gallon,$3.24 ,$1.89 ,$1.76 ,$3.27 ,$4.13 ,$99.75 ,$85.69 ,$93.47 ,$397.34 ,$50.23 
1570330881-230,https://www.payscale.com/cost-of-living-calculator/Alaska-Anchorage,"$510,784 ","$1,600 / month",$173.70 / month,$185.15 / month,$2.93 / gallon,$4.18 ,$2.44 ,$2.27 ,$4.22 ,$5.33 ,$159.20 ,$136.77 ,$149.18 ,$634.16 ,$63.21 
1570330808-196,https://www.payscale.com/cost-of-living-calculator/Missouri-Columbia,"$283,499 ",$888.08 / month,$162.97 / month,$173.72 / month,$2.47 / gallon,$3.26 ,$1.90 ,$1.77 ,$3.29 ,$4.15 ,$111.04 ,$95.40 ,$104.05 ,$442.32 ,$49.77 
1570330531-66,https://www.payscale.com/cost-of-living-calculator/Pennsylvania-Bethlehem,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330552-76,https://www.payscale.com/cost-of-living-calculator/Pennsylvania-Pittsburgh,"$317,505 ",$994.61 / month,$184.43 / month,$196.59 / month,$2.78 / gallon,$3.68 ,$2.14 ,$2.00 ,$3.71 ,$4.68 ,$103.85 ,$89.21 ,$97.31 ,$413.66 ,$50.13 
1570330462-33,https://www.payscale.com/cost-of-living-calculator/Massachusetts-Wellesley,"$1,356,983 ","$4,251 / month",$236.57 / month,$252.17 / month,$2.89 / gallon,$3.52 ,$2.05 ,$1.91 ,$3.55 ,$4.49 ,$149.68 ,$128.59 ,$140.26 ,$596.23 ,$66.81 
1570330616-106,https://www.payscale.com/cost-of-living-calculator/Florida-Boca-Raton,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330665-129,https://www.payscale.com/cost-of-living-calculator/Arkansas-Fayetteville,"$263,026 ",$823.95 / month,$158.61 / month,$169.07 / month,$2.22 / gallon,$3.11 ,$1.81 ,$1.69 ,$3.13 ,$3.96 ,$97.87 ,$84.08 ,$91.71 ,$389.84 ,$50.49 
1570330944-260,https://www.payscale.com/cost-of-living-calculator/California-Arcata,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330642-118,https://www.payscale.com/cost-of-living-calculator/West_Virginia-Morgantown,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330986-280,https://www.payscale.com/cost-of-living-calculator/California-Claremont,"$820,543 ","$2,570 / month",$180.74 / month,$192.66 / month,$3.42 / gallon,$3.73 ,$2.17 ,$2.03 ,$3.77 ,$4.75 ,$121.67 ,$104.53 ,$114.01 ,$484.66 ,$54.97 
1570330411-9,https://www.payscale.com/cost-of-living-calculator/New_York-Fredonia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330614-105,https://www.payscale.com/cost-of-living-calculator/Florida-Tampa,"$266,843 ",$835.90 / month,$194.99 / month,$207.85 / month,$2.77 / gallon,$3.33 ,$1.94 ,$1.81 ,$3.36 ,$4.24 ,$108.83 ,$93.49 ,$101.98 ,$433.50 ,$49.93 
1570330931-254,https://www.payscale.com/cost-of-living-calculator/Arizona-Tucson,"$277,600 ",$869.60 / month,$151.23 / month,$161.21 / month,$2.52 / gallon,$3.42 ,$1.99 ,$1.86 ,$3.45 ,$4.35 ,$112.04 ,$96.25 ,$104.98 ,$446.29 ,$52.14 
1570330640-117,https://www.payscale.com/cost-of-living-calculator/Maryland-Baltimore,"$509,743 ","$1,597 / month",$179.56 / month,$191.41 / month,$2.69 / gallon,$3.57 ,$2.08 ,$1.94 ,$3.60 ,$4.55 ,$101.41 ,$87.12 ,$95.03 ,$403.96 ,$54.40 
1570330415-11,https://www.payscale.com/cost-of-living-calculator/New_York-Potsdam,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330749-168,https://www.payscale.com/cost-of-living-calculator/Pennsylvania-Moon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330825-204,https://www.payscale.com/cost-of-living-calculator/Iowa-Ames,"$331,038 ","$1,037 / month",$133.63 / month,$142.44 / month,$2.79 / gallon,$3.02 ,$1.76 ,$1.64 ,$3.05 ,$3.85 ,$110.38 ,$94.82 ,$103.43 ,$439.68 ,$46.22 
1570330533-67,https://www.payscale.com/cost-of-living-calculator/New_Jersey-Hoboken,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330942-259,https://www.payscale.com/cost-of-living-calculator/California-Santa-Paula,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330798-191,https://www.payscale.com/cost-of-living-calculator/Kansas-Manhattan,"$294,256 ",$921.78 / month,$149.39 / month,$159.24 / month,$2.39 / gallon,$3.14 ,$1.83 ,$1.71 ,$3.17 ,$3.99 ,$104.73 ,$89.97 ,$98.14 ,$417.19 ,$48.79 
1570330478-41,https://www.payscale.com/cost-of-living-calculator/Maine-Waterville,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330544-72,https://www.payscale.com/cost-of-living-calculator/Rhode_Island-Providence,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330978-276,https://www.payscale.com/cost-of-living-calculator/California-San-Diego,"$817,185 ","$2,560 / month",$192.64 / month,$205.35 / month,$3.36 / gallon,$3.76 ,$2.19 ,$2.04 ,$3.79 ,$4.79 ,$119.01 ,$102.24 ,$111.52 ,$474.08 ,$52.55 
1570330674-133,https://www.payscale.com/cost-of-living-calculator/Delaware-Newark,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330436-21,https://www.payscale.com/cost-of-living-calculator/Massachusetts-Dartmouth,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330732-160,https://www.payscale.com/cost-of-living-calculator/Wisconsin-Green-Bay,"$281,070 ",$880.47 / month,$172.86 / month,$184.26 / month,$2.62 / gallon,$3.03 ,$1.77 ,$1.65 ,$3.06 ,$3.86 ,$115.14 ,$98.91 ,$107.89 ,$458.64 ,$47.56 
1570330559-79,https://www.payscale.com/cost-of-living-calculator/New_York-Brooklyn,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330842-212,https://www.payscale.com/cost-of-living-calculator/Michigan-Ann-Arbor,"$407,378 ","$1,276 / month",$157.10 / month,$167.46 / month,$2.57 / gallon,$3.67 ,$2.14 ,$2.00 ,$3.71 ,$4.68 ,$137.94 ,$118.51 ,$129.26 ,$549.49 ,$48.90 
1570330527-64,https://www.payscale.com/cost-of-living-calculator/Massachusetts-Chestnut-Hill,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330601-99,https://www.payscale.com/cost-of-living-calculator/North_Carolina-Greenville,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330704-147,https://www.payscale.com/cost-of-living-calculator/Texas-College-Station,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330661-127,https://www.payscale.com/cost-of-living-calculator/North_Carolina-Chapel-Hill,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330502-52,https://www.payscale.com/cost-of-living-calculator/New_York-Brookville,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330908-243,https://www.payscale.com/cost-of-living-calculator/Colorado-Colorado-Springs,"$341,101 ","$1,069 / month",$123.57 / month,$131.72 / month,$2.54 / gallon,$3.23 ,$1.88 ,$1.76 ,$3.26 ,$4.12 ,$113.03 ,$97.11 ,$105.92 ,$450.26 ,$48.54 
1570330734-161,https://www.payscale.com/cost-of-living-calculator/Ohio-Kent,"$546,401 ","$1,712 / month",$162.63 / month,$173.36 / month,$2.85 / gallon,$3.38 ,$1.97 ,$1.84 ,$3.41 ,$4.30 ,$93.11 ,$79.99 ,$87.25 ,$370.88 ,$43.29 
1570330980-277,https://www.payscale.com/cost-of-living-calculator/California-San-Lios-Obispo,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330849-215,https://www.payscale.com/cost-of-living-calculator/Illinois-Evanston,"$854,777 ","$2,678 / month",$151.23 / month,$161.21 / month,$3.30 / gallon,$3.60 ,$2.10 ,$1.96 ,$3.64 ,$4.59 ,$112.15 ,$96.35 ,$105.09 ,$446.73 ,$59.09 
1570330834-208,https://www.payscale.com/cost-of-living-calculator/Wisconsin-Madison,"$379,618 ","$1,189 / month",$176.38 / month,$188.01 / month,$2.80 / gallon,$3.43 ,$2.00 ,$1.86 ,$3.46 ,$4.36 ,$135.51 ,$116.41 ,$126.98 ,$539.78 ,$54.61 
1570330413-10,https://www.payscale.com/cost-of-living-calculator/New_York-Niagara-University,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330744-166,https://www.payscale.com/cost-of-living-calculator/Wisconsin-Oshkosh,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330550-75,https://www.payscale.com/cost-of-living-calculator/New_York-Troy,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330663-128,https://www.payscale.com/cost-of-living-calculator/Alabama-Huntsville,"$258,168 ",$808.73 / month,$183.92 / month,$196.06 / month,$2.49 / gallon,$3.20 ,$1.86 ,$1.74 ,$3.23 ,$4.07 ,$106.95 ,$91.88 ,$100.21 ,$426.01 ,$55.12 
1570330588-93,https://www.payscale.com/cost-of-living-calculator/Kentucky-Morehead,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330929-253,https://www.payscale.com/cost-of-living-calculator/Washington-Seattle,"$673,874 ","$2,111 / month",$206.39 / month,$220.00 / month,$3.47 / gallon,$4.22 ,$2.46 ,$2.29 ,$4.26 ,$5.37 ,$137.50 ,$118.13 ,$128.85 ,$547.72 ,$69.64 
1570330984-279,https://www.payscale.com/cost-of-living-calculator/California-Berkeley,"$1,128,030 ","$3,534 / month",$190.46 / month,$203.03 / month,$3.40 / gallon,$4.18 ,$2.43 ,$2.27 ,$4.22 ,$5.32 ,$136.28 ,$117.08 ,$127.70 ,$542.87 ,$62.69 
1570330623-109,https://www.payscale.com/cost-of-living-calculator/Texas-El-Paso,"$271,701 ",$851.12 / month,$155.25 / month,$165.49 / month,$2.66 / gallon,$3.47 ,$2.02 ,$1.88 ,$3.50 ,$4.41 ,$107.17 ,$92.07 ,$100.42 ,$426.89 ,$45.04 
1570330586-92,https://www.payscale.com/cost-of-living-calculator/Mississippi-Clinton,"$399,656 ","$1,252 / month",$175.04 / month,$186.58 / month,$2.26 / gallon,$2.95 ,$1.72 ,$1.60 ,$2.97 ,$3.75 ,$98.53 ,$84.65 ,$92.33 ,$392.49 ,$48.90 
1570330967-271,https://www.payscale.com/cost-of-living-calculator/California-Chico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330426-16,https://www.payscale.com/cost-of-living-calculator/New_York-Saratoga-Springs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330593-95,https://www.payscale.com/cost-of-living-calculator/Arkansas-Jonesboro,"$257,821 ",$807.64 / month,$146.03 / month,$155.67 / month,$2.26 / gallon,$3.02 ,$1.76 ,$1.64 ,$3.04 ,$3.84 ,$90.45 ,$77.70 ,$84.76 ,$360.30 ,$45.91 
