STATES,MORTGAGE,RENT,ELECTRICITY,GAS,EAT-IN,PHONE,HLTH & WELL,VET,REGION
Illinois-Chicago,539932,1691.0,151.23,3.3,15.889999999999999,161.21,760.32,59.09,Mid-West
Ohio-Cincinnati,264414,828.29,159.95,2.63,13.400000000000002,170.5,738.55,52.45,Mid-West
Ohio-Cleveland,306401,959.82,175.54,2.68,16.32,187.12,759.5600000000001,54.56,Mid-West
Michigan-Detroit,326527,1023.0,171.18,2.82,13.319999999999999,182.47,707.02,50.03,Mid-West
Missouri-Kansas-City,319587,1001.0,180.74,2.57,14.709999999999999,192.66,742.3,53.48,Mid-West
Wisconsin-Milwaukee,325833,1021.0,179.73,2.49,14.370000000000001,191.59,851.1299999999999,48.74,Mid-West
Minnesota-Minneapolis,363656,1139.0,152.74,2.82,15.649999999999999,162.81,784.34,55.07,Mid-West
Missouri-St.-Louis,252269,790.25,192.31,2.62,15.34,204.99,766.3199999999999,49.98,Mid-West
