,School Name,Starting Median Salary,Mid-Career Median Salary,Mid-Career 90th Percentile Salary,MORTGAGE,RENT,ELECTRICITY,GAS,EAT-IN,PHONE,HLTH & WELL,VET,REGION
0,University of Oklahoma,44700.0,82900.0,167000.0,247758.0,776.12,154.08,2.18,13.32,164.24,680.75,46.79,Southern
1,Oklahoma State University,42800.0,80700.0,151000.0,247758.0,776.12,154.08,2.18,13.32,164.24,680.75,46.79,Southern
3,University of Louisiana (UL) at Lafayette,41100.0,76300.0,163000.0,259903.0,814.16,183.42,2.5,14.38,195.52,654.49,48.02,Southern
4,University of Colorado   Denver,46100.0,84400.0,144000.0,463245.0,1451.0,156.76,2.75,14.37,167.1,790.34,55.28,Western
5,Regis University,48300.0,73800.0,117000.0,463245.0,1451.0,156.76,2.75,14.37,167.1,790.34,55.28,Western
7,University of Akron,41100.0,70300.0,127000.0,343877.0,1077.0,162.63,2.85,14.9,173.36,631.23,43.29,Midwestern
8,Southern Illinois University Carbondale,43000.0,72500.0,139000.0,285928.0,895.69,161.29,2.68,14.329999999999998,171.93,759.5600000000002,49.46,Midwestern
9,San Francisco State University (SFSU),47300.0,86400.0,150000.0,1146835.0,3593.0,182.92,3.51,18.87,194.98,901.42,62.84,California
10,Georgetown University,55000.0,110000.0,248000.0,859866.0,2694.0,162.13,2.73,16.14,172.82,724.3,50.44,Southern
11,George Washington University (GWU),47000.0,97900.0,194000.0,859866.0,2694.0,162.13,2.73,16.14,172.82,724.3,50.44,Southern
12,"American University, Washington D.C.",45300.0,90800.0,169000.0,859866.0,2694.0,162.13,2.73,16.14,172.82,724.3,50.44,Southern
13,Howard University,46900.0,81800.0,138000.0,859866.0,2694.0,162.13,2.73,16.14,172.82,724.3,50.44,Southern
14,Baylor University,48300.0,88600.0,200000.0,282805.0,885.91,177.55,2.53,12.14,189.26,695.78,49.0,Southern
15,University of Utah,45400.0,83200.0,148000.0,320281.0,1003.0,130.77,2.8,14.31,139.4,695.78,49.26,Western
16,Penn State   Harrisburg,45700.0,74000.0,150000.0,321322.0,1007.0,199.68,2.76,14.510000000000002,212.86,662.74,50.9,Northeastern
17,Stanford University,70400.0,129000.0,257000.0,2140883.0,6706.0,181.74,3.16,21.68,193.73,1017.01,65.26,California
18,University of Puget Sound,46600.0,81500.0,137000.0,337631.0,1058.0,190.63,2.54,16.14,203.2,914.18,59.65,Western
19,"University of Nevada, Reno (UNR)",46500.0,82900.0,143000.0,370596.0,1161.0,141.84,2.95,14.68,151.2,827.11,58.21,Western
20,Ursinus College,42100.0,80000.0,160000.0,828384.0,2595.0,208.74,3.0,17.05,222.51,793.34,55.18,Northeastern
21,Gonzaga University,44900.0,76000.0,138000.0,320281.0,1003.0,126.75,2.93,14.23,135.11,851.8900000000001,50.23,Western
22,Wentworth Institute of Technology,53000.0,96700.0,153000.0,717943.0,2249.0,236.57,2.89,15.52,252.17,1014.76,66.81,Northeastern
23,Boston University,49000.0,93900.0,193000.0,717943.0,2249.0,236.57,2.89,15.52,252.17,1014.76,66.81,Northeastern
24,Northeastern University,50500.0,86400.0,159000.0,717943.0,2249.0,236.57,2.89,15.52,252.17,1014.76,66.81,Northeastern
25,University of Massachusetts (UMass)   Boston,45600.0,78200.0,151000.0,717943.0,2249.0,236.57,2.89,15.52,252.17,1014.76,66.81,Northeastern
26,Suffolk University,42100.0,74000.0,145000.0,717943.0,2249.0,236.57,2.89,15.52,252.17,1014.76,66.81,Northeastern
